gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,year,taxonKey,speciesKey
1456756933,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum channelense,SPECIES,"Lasioglossum channelense McGinley, 1986",Chis,California,1,34.0185,-119.6839,2012,1353930,1353930
4023724047,Animalia,Arthropoda,Insecta,,,,,CLASS,Insecta,Chis,California,1,33.9791,-120.0046,2012,216,
1456756359,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum hammondi,SPECIES,"Lasioglossum hammondi (Cockerell, 1938)",Chis,California,1,33.9791,-120.0046,2012,1353942,1353942
1456756699,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula pensylvanica,SPECIES,"Vespula pensylvanica (de Saussure, 1857)",Samo,California,1,34.0141,-118.8202,2012,1311698,1311698
1456756941,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Chis,California,1,34.0185,-119.6839,2012,5042846,
1456759178,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum diversopunctatum,SPECIES,"Lasioglossum diversopunctatum (Ellis, 1914)",Chis,California,1,34.0594,-119.9198,2012,1354185,1354185
1456759688,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Chis,California,1,34.0594,-119.9198,2012,5042846,
1456759829,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum diversopunctatum,SPECIES,"Lasioglossum diversopunctatum (Ellis, 1914)",Chis,California,1,34.0594,-119.9198,2012,1354185,1354185
1456760534,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum kincaidii,SPECIES,"Lasioglossum kincaidii (Cockerell, 1898)",Chis,California,1,34.0225,-119.8728,2012,1354558,1354558
1456760686,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,,GENUS,"Perdita Smith, 1853",Samo,California,1,34.0773,-119.024,2012,1356038,
1456760929,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Chis,California,1,34.0594,-119.9198,2012,5042846,
1456760924,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,,GENUS,"Lasioglossum Curtis, 1833",Chis,California,1,34.0594,-119.9198,2012,1353501,
1456760903,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum hammondi,SPECIES,"Lasioglossum hammondi (Cockerell, 1938)",Chis,California,1,34.0594,-119.9198,2012,1353942,1353942
5070331154,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Chis,California,1,34.0594,-119.9198,2012,1355006,1355006
1456762368,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Chis,California,1,34.0225,-119.8728,2012,5042846,
1456762845,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,Halictus farinosus,SPECIES,"Halictus farinosus Smith, 1853",Chis,California,1,34.0185,-119.6839,2012,1353425,1353425
1456759265,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Chis,California,1,34.0594,-119.9198,2012,1355006,1355006
1456759721,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,Halictus harmonius,SPECIES,"Halictus harmonius Sandhouse, 1941",Chis,California,1,34.0594,-119.9198,2012,1353185,1353185
1456759876,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Chis,California,1,34.0594,-119.9198,2012,1355006,1355006
4023724072,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Aporinellus,,GENUS,"Aporinellus Banks, 1911",Chis,California,1,34.0594,-119.9198,2012,4406469,
1456764933,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Chis,California,1,34.06,-119.9558,2012,5042846,
2459015331,Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,Solierella,Solierella striatipes,SPECIES,"Solierella striatipes (Ashmead, 1899)",Samo,California,1,34.1495,-118.9604,2012,9508809,9508809
4023720665,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cryptocheilus,Cryptocheilus hesperus,SPECIES,"Cryptocheilus hesperus (Banks, 1915)",Samo,California,1,34.1495,-118.9604,2011,7694813,7694813
1456708258,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Samo,California,1,34.0773,-119.024,2011,5042846,
