state,county_code,county_name,year,pcp_mean,tavg_mean,n_months
CA,001,Alameda County,2013,0.3775,61.625,4
CA,001,Alameda County,2014,0.8525,62.125,4
CA,001,Alameda County,2015,0.5125,61.425000000000004,4
CA,001,Alameda County,2016,1.8575,61.6,4
CA,001,Alameda County,2017,1.305,60.925,4
CA,001,Alameda County,2018,1.7125,59.1,4
CA,001,Alameda County,2019,1.7075,59.75,4
CA,001,Alameda County,2020,1.1925,60.725,4
CA,001,Alameda County,2021,0.36750000000000005,60.475,4
CA,001,Alameda County,2022,0.5275000000000001,61.075,4
CA,001,Alameda County,2023,1.805,57.15,4
CA,003,Alpine County,2013,1.69,45.9,4
CA,003,Alpine County,2014,1.6400000000000001,45.725,4
CA,003,Alpine County,2015,1.7825,46.85,4
CA,003,Alpine County,2016,2.89,45.875,4
CA,003,Alpine County,2017,3.47,45.125,4
CA,003,Alpine County,2018,4.3625,44.5,4
CA,003,Alpine County,2019,2.96,42.975,4
CA,003,Alpine County,2020,2.6225,44.05,4
CA,003,Alpine County,2021,1.38,46.1,4
CA,003,Alpine County,2022,1.4825,44.875,4
CA,003,Alpine County,2023,3.98,41.55,4
CA,005,Amador County,2013,1.5475,61.1,4
CA,005,Amador County,2014,1.985,61.15,4
CA,005,Amador County,2015,1.395,61.650000000000006,4
CA,005,Amador County,2016,3.035,60.15,4
CA,005,Amador County,2017,2.99,59.725,4
CA,005,Amador County,2018,4.265,58.65,4
CA,005,Amador County,2019,3.7725,58,4
CA,005,Amador County,2020,3.23,58.55,4
CA,005,Amador County,2021,1.0025,60.725,4
CA,005,Amador County,2022,1.4575,59.425,4
CA,005,Amador County,2023,3.5725000000000002,55.825,4
CA,007,Butte County,2013,1.42,63.075,4
CA,007,Butte County,2014,2.7325,63.375,4
CA,007,Butte County,2015,0.8325,64.175,4
CA,007,Butte County,2016,4.0875,62.725,4
CA,007,Butte County,2017,3.3375000000000004,62.15,4
CA,007,Butte County,2018,3.995,61.15,4
CA,007,Butte County,2019,4.2375,61.425,4
CA,007,Butte County,2020,2.3275,62.15,4
CA,007,Butte County,2021,1.21,63.65,4
CA,007,Butte County,2022,1.75,62.775,4
CA,007,Butte County,2023,4.205,59.05,4
CA,009,Calaveras County,2013,1.37,61.425,4
CA,009,Calaveras County,2014,1.8824999999999998,61.224999999999994,4
CA,009,Calaveras County,2015,1.165,61.925,4
CA,009,Calaveras County,2016,3.0275,60.4,4
CA,009,Calaveras County,2017,2.685,60.125,4
CA,009,Calaveras County,2018,3.9924999999999997,58.9,4
CA,009,Calaveras County,2019,3.795,58.349999999999994,4
CA,009,Calaveras County,2020,2.9375,59.025,4
CA,009,Calaveras County,2021,0.9325,61.2,4
CA,009,Calaveras County,2022,1.2650000000000001,60.075,4
CA,009,Calaveras County,2023,3.565,56.2,4
CA,011,Colusa County,2013,0.825,65.1,4
CA,011,Colusa County,2014,1.2525,65.95,4
CA,011,Colusa County,2015,0.605,66.2,4
CA,011,Colusa County,2016,2.0825,64.75,4
CA,011,Colusa County,2017,1.375,64.2,4
CA,011,Colusa County,2018,1.675,63.1,4
CA,011,Colusa County,2019,1.905,63.35,4
CA,011,Colusa County,2020,0.7075,64.15,4
CA,011,Colusa County,2021,0.42,65.4,4
CA,011,Colusa County,2022,0.5,64.2,4
CA,011,Colusa County,2023,2.3125,60.975,4
CA,013,Contra Costa County,2013,0.4125,63.275,4
CA,013,Contra Costa County,2014,0.9675,63.55,4
CA,013,Contra Costa County,2015,0.455,62.975,4
CA,013,Contra Costa County,2016,1.8775,62.975,4
CA,013,Contra Costa County,2017,1.3525,62.45,4
CA,013,Contra Costa County,2018,1.8475,60.4,4
CA,013,Contra Costa County,2019,1.575,61.1,4
CA,013,Contra Costa County,2020,0.905,62.225,4
CA,013,Contra Costa County,2021,0.29750000000000004,62.1,4
CA,013,Contra Costa County,2022,0.4875,62.875,4
CA,013,Contra Costa County,2023,1.735,57.825,4
CA,015,Del Norte County,2013,3.635,53.625,4
CA,015,Del Norte County,2014,4.930000000000001,53.8,4
CA,015,Del Norte County,2015,2.785,55.65,4
CA,015,Del Norte County,2016,5.075,54.099999999999994,4
CA,015,Del Norte County,2017,7.2700000000000005,51.775000000000006,4
CA,015,Del Norte County,2018,5.7225,52.1,4
CA,015,Del Norte County,2019,4.995,53.25,4
CA,015,Del Norte County,2020,3.79,52.05,4
CA,015,Del Norte County,2021,3.0275,53.675,4
CA,015,Del Norte County,2022,5.7775,50.825,4
CA,015,Del Norte County,2023,5.8125,50.275000000000006,4
CA,017,El Dorado County,2013,2.0625,56.275,4
CA,017,El Dorado County,2014,2.49,56.074999999999996,4
CA,017,El Dorado County,2015,1.7725,57.025,4
CA,017,El Dorado County,2016,4.0925,55.625,4
CA,017,El Dorado County,2017,3.6725,55.1,4
CA,017,El Dorado County,2018,5.3825,53.975,4
CA,017,El Dorado County,2019,4.2725,53.35,4
CA,017,El Dorado County,2020,3.5700000000000003,54.099999999999994,4
CA,017,El Dorado County,2021,1.1825,56.25,4
CA,017,El Dorado County,2022,2.2275,54.575,4
CA,017,El Dorado County,2023,4.525,51.25,4
CA,019,Fresno County,2013,0.4125,59.425,4
CA,019,Fresno County,2014,0.895,59.55,4
CA,019,Fresno County,2015,0.6225,59.4,4
CA,019,Fresno County,2016,1.5425,58.6,4
CA,019,Fresno County,2017,1.3199999999999998,57.825,4
CA,019,Fresno County,2018,2.245,56.975,4
CA,019,Fresno County,2019,2.045,56.225,4
CA,019,Fresno County,2020,1.68,56.925,4
CA,019,Fresno County,2021,0.5599999999999999,58.85,4
CA,019,Fresno County,2022,0.63,57.75,4
