Program,Year,Period,Week.Ending,Geo.Level,State,State.ANSI,Ag.District,Ag.District.Code,County,County.ANSI,Zip.Code,Region,watershed_code,Watershed,Commodity,Data.Item,Domain,Domain.Category,Value,CV....
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,59,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,45.93,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN BENITO,69,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,41.37,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,53.63,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,51.23,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,52.45,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,49.67,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,40.12,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,43.04,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,43.06,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,TEHAMA,103,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,48.98,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,49.76,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YUBA,115,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,46.83,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,54.22,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,54.18,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,53.99,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,53.8,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,46.53,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,44.96,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,48.39,NA
SURVEY,2023,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,71.62,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,57.6,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,52.59,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN BENITO,69,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,35,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,54.42,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,50.22,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,41.13,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,33.61,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,37.84,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,39.04,NA
