County,year,month,temp,precip,yield,Data.Item
BUTTE,2018,9,71.4,0,52.15,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
BUTTE,2019,9,70.1,1.54,38.73,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
BUTTE,2020,9,75.7,0,44.4,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
BUTTE,2021,9,74.4,0.38,24.59,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
BUTTE,2022,9,76,1.72,54.42,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
BUTTE,2023,9,69.2,1.04,51.23,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2013,9,70.9,1.04,51.92,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2014,9,74.1,0.82,48.94,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2016,9,73.2,0,53.26,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2017,9,74.3,0.03,45.63,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2018,9,71.9,0.02,48.93,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2019,9,71.3,0.18,51.24,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2020,9,76.3,0,51.21,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2021,9,75.1,0.06,49.46,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2022,9,76.3,1.18,50.22,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
COLUSA,2023,9,70.3,0.16,52.45,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
CONTRA COSTA,2017,9,71.5,0.03,44.62,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
CONTRA COSTA,2018,9,69.4,0,48.03,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
CONTRA COSTA,2019,9,69.8,0.15,49.78,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
CONTRA COSTA,2020,9,74.2,0,56.12,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
CONTRA COSTA,2021,9,71.6,0.03,63.81,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
CONTRA COSTA,2022,9,73.6,0.56,57.6,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
CONTRA COSTA,2023,9,66.9,0.04,59,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2013,9,66.6,0.16,48.95,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2014,9,69.8,0.32,49.33,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2015,9,69.3,0.16,50.89,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2016,9,66.7,0.07,50.03,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2017,9,67.2,0.45,50.98,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2018,9,68.6,0.02,55.42,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2019,9,66.4,0.01,51.5,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2020,9,70.6,0,52.04,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2021,9,69.9,0.03,45.17,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2022,9,71.7,0.77,47.28,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
FRESNO,2023,9,65.1,0.21,54.22,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
GLENN,2018,9,70.9,0.03,42.05,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
GLENN,2019,9,70,0.38,42.76,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
GLENN,2020,9,75.5,0,43.14,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
GLENN,2021,9,74.6,0.18,46.36,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
GLENN,2022,9,75.2,1.71,41.13,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
GLENN,2023,9,70.1,0.39,49.67,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
IMPERIAL,2021,9,88.9,0.19,23.85,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2013,9,73.5,0.06,42.31,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2014,9,76.2,0.01,52.86,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2015,9,76.3,0.18,45.66,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2016,9,73,0,46.4,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2017,9,72.8,0.32,50.14,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2018,9,75.1,0,61.72,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2019,9,72.6,0.01,53.38,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2020,9,77.3,0,57.95,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2021,9,75.7,0.01,56.38,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2022,9,77.9,0.35,54.86,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KERN,2023,9,71.1,0.02,54.18,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2013,9,74.8,0,45.81,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2014,9,78.5,0.01,54.13,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
