state,county_code,county_name,year,pcp_mean,tavg_mean,n_months,yield
CA,007,Butte County,2018,3.995,61.15,4,52.15
CA,007,Butte County,2019,4.2375,61.425,4,38.73
CA,007,Butte County,2020,2.3275,62.15,4,44.4
CA,007,Butte County,2021,1.21,63.65,4,24.59
CA,007,Butte County,2022,1.75,62.775,4,54.42
CA,007,Butte County,2023,4.205,59.05,4,51.23
CA,011,Colusa County,2013,0.825,65.1,4,51.92
CA,011,Colusa County,2014,1.2525,65.95,4,48.94
CA,011,Colusa County,2016,2.0825,64.75,4,53.26
CA,011,Colusa County,2017,1.375,64.2,4,45.63
CA,011,Colusa County,2018,1.675,63.1,4,48.93
CA,011,Colusa County,2019,1.905,63.35,4,51.24
CA,011,Colusa County,2020,0.7075,64.15,4,51.21
CA,011,Colusa County,2021,0.42,65.4,4,49.46
CA,011,Colusa County,2022,0.5,64.2,4,50.22
CA,011,Colusa County,2023,2.3125,60.975,4,52.45
CA,013,Contra Costa County,2017,1.3525,62.45,4,44.62
CA,013,Contra Costa County,2018,1.8475,60.4,4,48.03
CA,013,Contra Costa County,2019,1.575,61.1,4,49.78
CA,013,Contra Costa County,2020,0.905,62.225,4,56.12
CA,013,Contra Costa County,2021,0.29750000000000004,62.1,4,63.81
CA,013,Contra Costa County,2022,0.4875,62.875,4,57.6
CA,013,Contra Costa County,2023,1.735,57.825,4,59
CA,019,Fresno County,2013,0.4125,59.425,4,48.95
CA,019,Fresno County,2014,0.895,59.55,4,49.33
CA,019,Fresno County,2015,0.6225,59.4,4,50.89
CA,019,Fresno County,2016,1.5425,58.6,4,50.03
CA,019,Fresno County,2017,1.3199999999999998,57.825,4,50.98
CA,019,Fresno County,2018,2.245,56.975,4,55.42
CA,019,Fresno County,2019,2.045,56.225,4,51.5
CA,019,Fresno County,2020,1.68,56.925,4,52.04
CA,019,Fresno County,2021,0.5599999999999999,58.85,4,45.17
CA,019,Fresno County,2022,0.63,57.75,4,47.28
CA,019,Fresno County,2023,2.3675,54.05,4,54.22
CA,021,Glenn County,2018,1.7525,61.2,4,42.05
CA,021,Glenn County,2019,2.44,61.525,4,42.76
CA,021,Glenn County,2020,0.845,62.475,4,43.14
CA,021,Glenn County,2021,0.565,64.25,4,46.36
CA,021,Glenn County,2022,0.6325000000000001,62.825,4,41.13
CA,021,Glenn County,2023,2.6925,59.45,4,49.67
CA,025,Imperial County,2021,0.02,77.325,4,23.85
CA,029,Kern County,2013,0.2175,66.075,4,42.31
CA,029,Kern County,2014,0.44,65.875,4,52.86
CA,029,Kern County,2015,0.2675,65.75,4,45.66
CA,029,Kern County,2016,0.5775,65.45,4,46.4
CA,029,Kern County,2017,0.2225,65.15,4,50.14
CA,029,Kern County,2018,0.7725,63.95,4,61.72
CA,029,Kern County,2019,0.93,62.8,4,53.38
CA,029,Kern County,2020,1.205,63.15,4,57.95
CA,029,Kern County,2021,0.2525,65.325,4,56.38
CA,029,Kern County,2022,0.415,64.55,4,54.86
CA,029,Kern County,2023,1.0150000000000001,60.175,4,54.18
CA,031,Kings County,2013,0.3075,68.375,4,45.81
CA,031,Kings County,2014,0.245,69.125,4,54.13
CA,031,Kings County,2015,0.26,68.9,4,50.79
CA,031,Kings County,2016,0.4825,68.25,4,54.74
CA,031,Kings County,2017,0.415,67.225,4,51.88
CA,031,Kings County,2018,0.6499999999999999,66.3,4,59.93
CA,031,Kings County,2019,0.7775000000000001,66.35,4,54.11
CA,031,Kings County,2020,0.855,66.525,4,51.99
CA,031,Kings County,2021,0.2275,67.5,4,46.85
CA,031,Kings County,2022,0.33,66.925,4,54.22
CA,031,Kings County,2023,0.9,64.15,4,53.99
CA,039,Madera County,2013,0.6375,59.875,4,38.2
CA,039,Madera County,2014,0.9475,59.775000000000006,4,50.67
CA,039,Madera County,2017,1.515,58.425,4,48.38
CA,039,Madera County,2020,1.81,57.425000000000004,4,50.66
CA,039,Madera County,2021,0.5575,58.975,4,45.86
CA,039,Madera County,2022,0.88,58.4,4,43.32
CA,039,Madera County,2023,2.74,54.925,4,53.8
CA,047,Merced County,2013,0.2825,66.675,4,56.77
CA,047,Merced County,2014,0.52,66.5,4,50.35
CA,047,Merced County,2015,0.3025,66.275,4,48.61
CA,047,Merced County,2016,1.31,66.2,4,47.74
CA,047,Merced County,2017,0.6375,65.425,4,47.95
CA,047,Merced County,2018,1.0575,63.6,4,52.56
CA,047,Merced County,2019,0.915,64,4,49.12
CA,047,Merced County,2020,0.8624999999999999,64.4,4,46.59
CA,047,Merced County,2021,0.225,64.80000000000001,4,46.47
CA,047,Merced County,2022,0.42,65.1,4,44.15
CA,047,Merced County,2023,1.275,61.224999999999994,4,46.53
CA,053,Monterey County,2022,0.5675,59.75,4,52.59
