state,county_code,county_name,state_county,date,value,year,month
CA,001,Alameda County,CA-001,201303,0.63,2013,3
CA,001,Alameda County,CA-001,201403,2.02,2014,3
CA,001,Alameda County,CA-001,201503,0.26,2015,3
CA,001,Alameda County,CA-001,201603,5.25,2016,3
CA,001,Alameda County,CA-001,201703,2.65,2017,3
CA,001,Alameda County,CA-001,201803,4.39,2018,3
CA,001,Alameda County,CA-001,201903,4.11,2019,3
CA,001,Alameda County,CA-001,202003,2.61,2020,3
CA,001,Alameda County,CA-001,202103,1.36,2021,3
CA,001,Alameda County,CA-001,202203,0.68,2022,3
CA,001,Alameda County,CA-001,202303,6.33,2023,3
CA,003,Alpine County,CA-003,201303,2.56,2013,3
CA,003,Alpine County,CA-003,201403,3.45,2014,3
CA,003,Alpine County,CA-003,201503,0.62,2015,3
CA,003,Alpine County,CA-003,201603,6.74,2016,3
CA,003,Alpine County,CA-003,201703,4.79,2017,3
CA,003,Alpine County,CA-003,201803,12.57,2018,3
CA,003,Alpine County,CA-003,201903,6.43,2019,3
CA,003,Alpine County,CA-003,202003,5.28,2020,3
CA,003,Alpine County,CA-003,202103,2.98,2021,3
CA,003,Alpine County,CA-003,202203,1.46,2022,3
CA,003,Alpine County,CA-003,202303,12.4,2023,3
CA,005,Amador County,CA-005,201303,2.89,2013,3
CA,005,Amador County,CA-005,201403,4.66,2014,3
CA,005,Amador County,CA-005,201503,0.83,2015,3
CA,005,Amador County,CA-005,201603,7.88,2016,3
CA,005,Amador County,CA-005,201703,4.71,2017,3
CA,005,Amador County,CA-005,201803,12.02,2018,3
CA,005,Amador County,CA-005,201903,7.18,2019,3
CA,005,Amador County,CA-005,202003,7.1,2020,3
CA,005,Amador County,CA-005,202103,3.28,2021,3
CA,005,Amador County,CA-005,202203,1.42,2022,3
CA,005,Amador County,CA-005,202303,12.38,2023,3
CA,007,Butte County,CA-007,201303,2.57,2013,3
CA,007,Butte County,CA-007,201403,9.06,2014,3
CA,007,Butte County,CA-007,201503,0.58,2015,3
CA,007,Butte County,CA-007,201603,12.92,2016,3
CA,007,Butte County,CA-007,201703,5.65,2017,3
CA,007,Butte County,CA-007,201803,10.05,2018,3
CA,007,Butte County,CA-007,201903,9.06,2019,3
CA,007,Butte County,CA-007,202003,3.53,2020,3
CA,007,Butte County,CA-007,202103,4.22,2021,3
CA,007,Butte County,CA-007,202203,1.42,2022,3
CA,007,Butte County,CA-007,202303,13.52,2023,3
CA,009,Calaveras County,CA-009,201303,2.75,2013,3
CA,009,Calaveras County,CA-009,201403,4.52,2014,3
CA,009,Calaveras County,CA-009,201503,0.64,2015,3
CA,009,Calaveras County,CA-009,201603,8.43,2016,3
CA,009,Calaveras County,CA-009,201703,4.18,2017,3
CA,009,Calaveras County,CA-009,201803,11.27,2018,3
CA,009,Calaveras County,CA-009,201903,7.91,2019,3
CA,009,Calaveras County,CA-009,202003,6.77,2020,3
CA,009,Calaveras County,CA-009,202103,3.25,2021,3
CA,009,Calaveras County,CA-009,202203,1.3,2022,3
CA,009,Calaveras County,CA-009,202303,12.83,2023,3
CA,011,Colusa County,CA-011,201303,1.51,2013,3
CA,011,Colusa County,CA-011,201403,3.51,2014,3
CA,011,Colusa County,CA-011,201503,0.54,2015,3
CA,011,Colusa County,CA-011,201603,6.61,2016,3
CA,011,Colusa County,CA-011,201703,2.32,2017,3
CA,011,Colusa County,CA-011,201803,3.72,2018,3
CA,011,Colusa County,CA-011,201903,4.62,2019,3
CA,011,Colusa County,CA-011,202003,0.88,2020,3
CA,011,Colusa County,CA-011,202103,1.52,2021,3
CA,011,Colusa County,CA-011,202203,0.92,2022,3
CA,011,Colusa County,CA-011,202303,7.38,2023,3
CA,013,Contra Costa County,CA-013,201303,0.6,2013,3
CA,013,Contra Costa County,CA-013,201403,2.12,2014,3
CA,013,Contra Costa County,CA-013,201503,0.26,2015,3
CA,013,Contra Costa County,CA-013,201603,5.64,2016,3
CA,013,Contra Costa County,CA-013,201703,2.73,2017,3
CA,013,Contra Costa County,CA-013,201803,4.97,2018,3
CA,013,Contra Costa County,CA-013,201903,3.98,2019,3
CA,013,Contra Costa County,CA-013,202003,1.91,2020,3
CA,013,Contra Costa County,CA-013,202103,1.12,2021,3
CA,013,Contra Costa County,CA-013,202203,0.67,2022,3
CA,013,Contra Costa County,CA-013,202303,6.19,2023,3
CA,015,Del Norte County,CA-015,201303,5.82,2013,3
CA,015,Del Norte County,CA-015,201403,13.72,2014,3
CA,015,Del Norte County,CA-015,201503,5.65,2015,3
CA,015,Del Norte County,CA-015,201603,13.98,2016,3
CA,015,Del Norte County,CA-015,201703,13.67,2017,3
CA,015,Del Norte County,CA-015,201803,13.42,2018,3
CA,015,Del Norte County,CA-015,201903,4.78,2019,3
CA,015,Del Norte County,CA-015,202003,3.96,2020,3
CA,015,Del Norte County,CA-015,202103,7.03,2021,3
CA,015,Del Norte County,CA-015,202203,4.78,2022,3
CA,015,Del Norte County,CA-015,202303,14.58,2023,3
CA,017,El Dorado County,CA-017,201303,3.2,2013,3
CA,017,El Dorado County,CA-017,201403,6.15,2014,3
CA,017,El Dorado County,CA-017,201503,0.87,2015,3
CA,017,El Dorado County,CA-017,201603,10.64,2016,3
CA,017,El Dorado County,CA-017,201703,5.6,2017,3
CA,017,El Dorado County,CA-017,201803,15.07,2018,3
CA,017,El Dorado County,CA-017,201903,8.34,2019,3
CA,017,El Dorado County,CA-017,202003,7.53,2020,3
CA,017,El Dorado County,CA-017,202103,3.56,2021,3
CA,017,El Dorado County,CA-017,202203,1.5,2022,3
CA,017,El Dorado County,CA-017,202303,14.59,2023,3
CA,019,Fresno County,CA-019,201303,0.86,2013,3
CA,019,Fresno County,CA-019,201403,1.76,2014,3
CA,019,Fresno County,CA-019,201503,0.28,2015,3
CA,019,Fresno County,CA-019,201603,3.34,2016,3
CA,019,Fresno County,CA-019,201703,1.67,2017,3
CA,019,Fresno County,CA-019,201803,7.01,2018,3
CA,019,Fresno County,CA-019,201903,3.95,2019,3
CA,019,Fresno County,CA-019,202003,3.39,2020,3
CA,019,Fresno County,CA-019,202103,2.01,2021,3
CA,019,Fresno County,CA-019,202203,1.58,2022,3
CA,019,Fresno County,CA-019,202303,8.46,2023,3
CA,021,Glenn County,CA-021,201303,1.33,2013,3
CA,021,Glenn County,CA-021,201403,5.3,2014,3
CA,021,Glenn County,CA-021,201503,0.21,2015,3
CA,021,Glenn County,CA-021,201603,7.06,2016,3
CA,021,Glenn County,CA-021,201703,2.52,2017,3
CA,021,Glenn County,CA-021,201803,3.4,2018,3
CA,021,Glenn County,CA-021,201903,6.48,2019,3
CA,021,Glenn County,CA-021,202003,1.07,2020,3
CA,021,Glenn County,CA-021,202103,1.91,2021,3
CA,021,Glenn County,CA-021,202203,1.04,2022,3
CA,021,Glenn County,CA-021,202303,8.34,2023,3
CA,023,Humboldt County,CA-023,201303,4.27,2013,3
CA,023,Humboldt County,CA-023,201403,10.35,2014,3
CA,023,Humboldt County,CA-023,201503,3.68,2015,3
CA,023,Humboldt County,CA-023,201603,14.58,2016,3
CA,023,Humboldt County,CA-023,201703,10.95,2017,3
CA,023,Humboldt County,CA-023,201803,11.26,2018,3
CA,023,Humboldt County,CA-023,201903,7.79,2019,3
CA,023,Humboldt County,CA-023,202003,3.81,2020,3
CA,023,Humboldt County,CA-023,202103,5.85,2021,3
CA,023,Humboldt County,CA-023,202203,2.66,2022,3
CA,023,Humboldt County,CA-023,202303,14.21,2023,3
CA,025,Imperial County,CA-025,201303,0.05,2013,3
CA,025,Imperial County,CA-025,201403,0.04,2014,3
CA,025,Imperial County,CA-025,201503,0.63,2015,3
CA,025,Imperial County,CA-025,201603,0.01,2016,3
CA,025,Imperial County,CA-025,201703,0.04,2017,3
CA,025,Imperial County,CA-025,201803,0.05,2018,3
CA,025,Imperial County,CA-025,201903,0.21,2019,3
CA,025,Imperial County,CA-025,202003,1.78,2020,3
CA,025,Imperial County,CA-025,202103,0.06,2021,3
CA,025,Imperial County,CA-025,202203,0.05,2022,3
CA,025,Imperial County,CA-025,202303,0.47,2023,3
CA,027,Inyo County,CA-027,201303,0.3,2013,3
CA,027,Inyo County,CA-027,201403,0.84,2014,3
CA,027,Inyo County,CA-027,201503,0.23,2015,3
CA,027,Inyo County,CA-027,201603,0.29,2016,3
CA,027,Inyo County,CA-027,201703,0.06,2017,3
CA,027,Inyo County,CA-027,201803,1.16,2018,3
CA,027,Inyo County,CA-027,201903,2.37,2019,3
CA,027,Inyo County,CA-027,202003,1.24,2020,3
CA,027,Inyo County,CA-027,202103,0.28,2021,3
CA,027,Inyo County,CA-027,202203,0.19,2022,3
CA,027,Inyo County,CA-027,202303,2.06,2023,3
