state,county_code,county_name,state_county,date,value,year,month
CA,001,Alameda County,CA-001,201309,0.54,2013,9
CA,001,Alameda County,CA-001,201409,0.39,2014,9
CA,001,Alameda County,CA-001,201509,0.04,2015,9
CA,001,Alameda County,CA-001,201609,0,2016,9
CA,001,Alameda County,CA-001,201709,0.06,2017,9
CA,001,Alameda County,CA-001,201809,0,2018,9
CA,001,Alameda County,CA-001,201909,0.19,2019,9
CA,001,Alameda County,CA-001,202009,0,2020,9
CA,001,Alameda County,CA-001,202109,0.02,2021,9
CA,001,Alameda County,CA-001,202209,0.59,2022,9
CA,001,Alameda County,CA-001,202309,0.05,2023,9
CA,003,Alpine County,CA-003,201309,0.89,2013,9
CA,003,Alpine County,CA-003,201409,1.52,2014,9
CA,003,Alpine County,CA-003,201509,0.39,2015,9
CA,003,Alpine County,CA-003,201609,0.32,2016,9
CA,003,Alpine County,CA-003,201709,2.39,2017,9
CA,003,Alpine County,CA-003,201809,0.1,2018,9
CA,003,Alpine County,CA-003,201909,0.87,2019,9
CA,003,Alpine County,CA-003,202009,0.22,2020,9
CA,003,Alpine County,CA-003,202109,0.21,2021,9
CA,003,Alpine County,CA-003,202209,1.49,2022,9
CA,003,Alpine County,CA-003,202309,1.16,2023,9
CA,005,Amador County,CA-005,201309,1.18,2013,9
CA,005,Amador County,CA-005,201409,0.93,2014,9
CA,005,Amador County,CA-005,201509,0.07,2015,9
CA,005,Amador County,CA-005,201609,0.05,2016,9
CA,005,Amador County,CA-005,201709,0.41,2017,9
CA,005,Amador County,CA-005,201809,0.01,2018,9
CA,005,Amador County,CA-005,201909,1.13,2019,9
CA,005,Amador County,CA-005,202009,0.05,2020,9
CA,005,Amador County,CA-005,202109,0.27,2021,9
CA,005,Amador County,CA-005,202209,1.12,2022,9
CA,005,Amador County,CA-005,202309,0.45,2023,9
CA,007,Butte County,CA-007,201309,1.26,2013,9
CA,007,Butte County,CA-007,201409,0.72,2014,9
CA,007,Butte County,CA-007,201509,0.27,2015,9
