state,county_code,county_name,state_county,date,value,year,month
CA,001,Alameda County,CA-001,201309,68.1,2013,9
CA,001,Alameda County,CA-001,201409,70,2014,9
CA,001,Alameda County,CA-001,201509,71.2,2015,9
CA,001,Alameda County,CA-001,201609,68.4,2016,9
CA,001,Alameda County,CA-001,201709,70.9,2017,9
CA,001,Alameda County,CA-001,201809,67.4,2018,9
CA,001,Alameda County,CA-001,201909,68.7,2019,9
CA,001,Alameda County,CA-001,202009,73.1,2020,9
CA,001,Alameda County,CA-001,202109,70.4,2021,9
CA,001,Alameda County,CA-001,202209,72.6,2022,9
CA,001,Alameda County,CA-001,202309,66.5,2023,9
CA,003,Alpine County,CA-003,201309,54.4,2013,9
CA,003,Alpine County,CA-003,201409,56.9,2014,9
CA,003,Alpine County,CA-003,201509,58,2015,9
CA,003,Alpine County,CA-003,201609,55.4,2016,9
CA,003,Alpine County,CA-003,201709,52.8,2017,9
CA,003,Alpine County,CA-003,201809,57.2,2018,9
CA,003,Alpine County,CA-003,201909,52.8,2019,9
CA,003,Alpine County,CA-003,202009,59.7,2020,9
CA,003,Alpine County,CA-003,202109,58.3,2021,9
CA,003,Alpine County,CA-003,202209,58.7,2022,9
CA,003,Alpine County,CA-003,202309,54.1,2023,9
CA,005,Amador County,CA-005,201309,67.3,2013,9
CA,005,Amador County,CA-005,201409,70.9,2014,9
CA,005,Amador County,CA-005,201509,71.6,2015,9
CA,005,Amador County,CA-005,201609,69.2,2016,9
CA,005,Amador County,CA-005,201709,68.9,2017,9
CA,005,Amador County,CA-005,201809,70.9,2018,9
CA,005,Amador County,CA-005,201909,66.8,2019,9
CA,005,Amador County,CA-005,202009,74.8,2020,9
CA,005,Amador County,CA-005,202109,72.7,2021,9
CA,005,Amador County,CA-005,202209,73.3,2022,9
CA,005,Amador County,CA-005,202309,66.5,2023,9
CA,007,Butte County,CA-007,201309,68.5,2013,9
CA,007,Butte County,CA-007,201409,73,2014,9
CA,007,Butte County,CA-007,201509,72.2,2015,9
CA,007,Butte County,CA-007,201609,71.7,2016,9
CA,007,Butte County,CA-007,201709,71.9,2017,9
CA,007,Butte County,CA-007,201809,71.4,2018,9
CA,007,Butte County,CA-007,201909,70.1,2019,9
CA,007,Butte County,CA-007,202009,75.7,2020,9
CA,007,Butte County,CA-007,202109,74.4,2021,9
CA,007,Butte County,CA-007,202209,76,2022,9
CA,007,Butte County,CA-007,202309,69.2,2023,9
CA,009,Calaveras County,CA-009,201309,68.1,2013,9
CA,009,Calaveras County,CA-009,201409,71.4,2014,9
CA,009,Calaveras County,CA-009,201509,72.2,2015,9
CA,009,Calaveras County,CA-009,201609,69.5,2016,9
CA,009,Calaveras County,CA-009,201709,69.8,2017,9
CA,009,Calaveras County,CA-009,201809,71,2018,9
CA,009,Calaveras County,CA-009,201909,67.7,2019,9
CA,009,Calaveras County,CA-009,202009,74.9,2020,9
